torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,valor_mercado_local,altura_media_local,edad_media_local,proporcion_zurdos_local,valor_mercado_visitante,altura_media_visitante,edad_media_visitante,proporcion_zurdos_visitante,resultado,fecha_encuentro,apuesta_local,apuesta_visitante,apuesta_empate
Campeonato 2015,3,10,Argentinos,Def y Justicia,1,0,,,,,,,,,,,,,,,12.049999999999999,1.78125,24.70731707317073,0.1951219512195122,12.05,1.7768888888888887,25.46,0.24,L,2015-03-01 19:15:00,2.48,3.03,2.98
Campeonato 2015,3,11,Racing Club,Temperley,2,1,,,,,,,,,,,,,,,29.075,1.7813513513513513,26.135135135135137,0.2972972972972973,5.3,1.8006666666666669,26.35483870967742,0.1935483870967742,L,2015-03-01 19:15:00,1.45,7.82,3.96
Campeonato 2015,3,12,Belgrano,River Plate,1,2,,,,,,,,,,,,,,,13.975,1.8192105263157894,26.42105263157895,0.21052631578947367,56.25,1.7738461538461539,24.21153846153846,0.23076923076923078,V,2015-03-01 21:30:00,3.35,2.24,3.06
Campeonato 2015,3,13,Sarmiento (J),Aldosivi,2,2,,,,,,,,,,,,,,,8.975,1.8005882352941176,26.394736842105264,0.2631578947368421,8.725,1.7903703703703704,28.1,0.23333333333333334,E,2015-03-02 18:00:00,2.21,3.6,2.94
Campeonato 2015,3,14,Banfield,Colon,0,0,,,,,,,,,,,,,,,22.925,1.7864583333333333,24.416666666666668,0.14583333333333334,12.125,1.8010256410256409,24.94871794871795,0.28205128205128205,E,2015-03-02 20:15:00,1.74,5.1,3.34
Campeonato 2015,3,15,Newells,Velez,0,0,,,,,,,,,,,,,,,32.67,1.7793999999999999,24.274509803921568,0.1568627450980392,28.5,1.7815094339622641,22.69811320754717,0.3018867924528302,E,2015-03-02 21:10:00,2.27,3.37,3.0
Campeonato 2015,4,1,Huracan,Gimnasia (LP),1,1,,,,,,,,,,,,,,,13.775,1.7783783783783782,27.63157894736842,0.18421052631578946,14.3,1.779318181818182,24.113636363636363,0.22727272727272727,E,2015-03-06 18:00:00,3.43,2.27,2.96
Campeonato 2015,4,2,Atl Rafaela,Racing Club,1,1,,,,,,,,,,,,,,,17.075,1.8061363636363637,24.708333333333332,0.14583333333333334,29.075,1.7813513513513513,26.135135135135137,0.2972972972972973,E,2015-03-06 21:10:00,2.91,2.53,3.01
Campeonato 2015,4,3,Nueva Chicago,Godoy Cruz,0,2,,,,,,,,,,,,,,,8.15,1.796470588235294,26.142857142857142,0.22857142857142856,21.2,1.7921568627450981,23.754716981132077,0.22641509433962265,V,2015-03-07 17:00:00,2.47,3.05,2.97
Campeonato 2015,4,4,Olimpo,Rosario Central,1,3,,,,,,,,,,,,,,,12.97,1.791086956521739,25.020833333333332,0.25,18.35,1.7893333333333332,25.608695652173914,0.21739130434782608,V,2015-03-07 18:00:00,2.93,2.58,2.94
Campeonato 2015,4,5,Aldosivi,Quilmes,1,1,,,,,,,,,,,,,,,8.725,1.7903703703703704,28.1,0.23333333333333334,16.975,1.7925000000000002,25.244897959183675,0.1836734693877551,E,2015-03-07 19:15:00,2.2,3.49,3.03
Campeonato 2015,4,6,Independiente,Belgrano,1,2,,,,,,,,,,,,,,,33.525,1.7817021276595744,25.595744680851062,0.2978723404255319,13.975,1.8192105263157894,26.42105263157895,0.21052631578947367,V,2015-03-07 20:10:00,1.99,3.93,3.15
Campeonato 2015,4,7,Newells,Crucero (M),2,0,,,,,,,,,,,,,,,32.67,1.7793999999999999,24.274509803921568,0.1568627450980392,4.4,1.7875,25.697674418604652,0.09302325581395349,L,2015-03-07 20:30:00,1.55,6.53,3.64
Campeonato 2015,4,8,Velez,Sarmiento (J),1,1,,,,,,,,,,,,,,,28.5,1.7815094339622641,22.69811320754717,0.3018867924528302,8.975,1.8005882352941176,26.394736842105264,0.2631578947368421,E,2015-03-08 17:00:00,1.63,5.88,3.5
Campeonato 2015,4,9,Lanus,Arsenal,0,0,,,,,,,,,,,,,,,30.62,1.8165853658536586,25.11904761904762,0.2619047619047619,27.25,1.7977083333333335,24.862745098039216,0.19607843137254902,E,2015-03-08 17:00:00,1.69,5.45,3.38
Campeonato 2015,4,10,Def y Justicia,Banfield,1,0,,,,,,,,,,,,,,,12.05,1.7768888888888887,25.46,0.24,22.925,1.7864583333333333,24.416666666666668,0.14583333333333334,L,2015-03-08 17:00:00,2.73,2.66,3.05
Campeonato 2015,4,11,River Plate,Union,2,2,,,,,,,,,,,,,,,56.25,1.7738461538461539,24.21153846153846,0.23076923076923078,7.95,1.7917073170731705,23.80952380952381,0.19047619047619047,E,2015-03-08 18:15:00,1.57,6.36,3.66
Campeonato 2015,4,12,San Martin (SJ),Argentinos,0,0,,,,,,,,,,,,,,,11.25,1.78,26.153846153846153,0.20512820512820512,12.049999999999999,1.78125,24.70731707317073,0.1951219512195122,E,2015-03-08 19:15:00,2.15,3.61,3.05
Campeonato 2015,4,13,Colon,Boca Juniors,1,1,,,,,,,,,,,,,,,12.125,1.8010256410256409,24.94871794871795,0.28205128205128205,80.925,1.7951020408163267,24.92,0.2,E,2015-03-08 21:30:00,4.48,1.88,3.19
Campeonato 2015,4,14,Temperley,Tigre,1,1,,,,,,,,,,,,,,,5.3,1.8006666666666669,26.35483870967742,0.1935483870967742,18.5,1.8070731707317074,26.071428571428573,0.23809523809523808,E,2015-03-09 20:00:00,2.85,2.67,2.9
Campeonato 2015,4,15,Estudiantes (LP),San Lorenzo,0,2,,,,,,,,,,,,,,,37.65,1.8029411764705883,24.901960784313726,0.23529411764705882,39.725,1.7830303030303032,26.62857142857143,0.2857142857142857,V,2015-03-09 21:10:00,2.64,2.86,2.92
Campeonato 2015,5,1,Crucero (M),Olimpo,0,0,,,,,,,,,,,,,,,4.4,1.7875,25.697674418604652,0.09302325581395349,12.97,1.791086956521739,25.020833333333332,0.25,E,2015-03-13 18:00:00,2.37,3.3,2.9
Campeonato 2015,5,2,Racing Club,Colon,4,1,,,,,,,,,,,,,,,29.075,1.7813513513513513,26.135135135135137,0.2972972972972973,12.125,1.8010256410256409,24.94871794871795,0.28205128205128205,L,2015-03-13 21:10:00,1.96,4.15,3.15
Campeonato 2015,5,3,Banfield,San Martin (SJ),3,2,,,,,,,,,,,,,,,22.925,1.7864583333333333,24.416666666666668,0.14583333333333334,11.25,1.78,26.153846153846153,0.20512820512820512,L,2015-03-14 16:00:00,1.68,5.26,3.52
Campeonato 2015,5,4,Boca Juniors,Def y Justicia,2,1,,,,,,,,,,,,,,,80.925,1.7951020408163267,24.92,0.2,12.05,1.7768888888888887,25.46,0.24,L,2015-03-14 18:15:00,1.41,8.77,4.14
Campeonato 2015,5,5,Union,Independiente,1,1,,,,,,,,,,,,,,,7.95,1.7917073170731705,23.80952380952381,0.19047619047619047,33.525,1.7817021276595744,25.595744680851062,0.2978723404255319,E,2015-03-14 20:10:00,2.44,3.07,3.01
Campeonato 2015,5,6,Sarmiento (J),Newells,1,2,,,,,,,,,,,,,,,8.975,1.8005882352941176,26.394736842105264,0.2631578947368421,32.67,1.7793999999999999,24.274509803921568,0.1568627450980392,V,2015-03-14 20:30:00,3.39,2.31,2.95
Campeonato 2015,5,7,Quilmes,Velez,2,1,,,,,,,,,,,,,,,16.975,1.7925000000000002,25.244897959183675,0.1836734693877551,28.5,1.7815094339622641,22.69811320754717,0.3018867924528302,L,2015-03-15 17:00:00,3.08,2.47,2.96
Campeonato 2015,5,8,Argentinos,Estudiantes (LP),2,2,,,,,,,,,,,,,,,12.049999999999999,1.78125,24.70731707317073,0.1951219512195122,37.65,1.8029411764705883,24.901960784313726,0.23529411764705882,E,2015-03-15 18:10:00,2.75,2.79,2.88
Campeonato 2015,5,9,San Lorenzo,Huracan,3,1,,,,,,,,,,,,,,,39.725,1.7830303030303032,26.62857142857143,0.2857142857142857,13.775,1.7783783783783782,27.63157894736842,0.18421052631578946,L,2015-03-15 18:15:00,1.67,5.54,3.43
Campeonato 2015,5,10,Tigre,Atl Rafaela,2,1,,,,,,,,,,,,,,,18.5,1.8070731707317074,26.071428571428573,0.23809523809523808,17.075,1.8061363636363637,24.708333333333332,0.14583333333333334,L,2015-03-15 18:15:00,1.98,3.97,3.2
Campeonato 2015,5,11,Godoy Cruz,Lanus,1,5,,,,,,,,,,,,,,,21.2,1.7921568627450981,23.754716981132077,0.22641509433962265,30.62,1.8165853658536586,25.11904761904762,0.2619047619047619,V,2015-03-15 21:30:00,2.75,2.65,3.04
Campeonato 2015,5,12,Rosario Central,Temperley,1,0,,,,,,,,,,,,,,,18.35,1.7893333333333332,25.608695652173914,0.21739130434782608,5.3,1.8006666666666669,26.35483870967742,0.1935483870967742,L,2015-03-16 16:00:00,1.43,8.08,4.0
Campeonato 2015,5,13,Belgrano,Aldosivi,0,1,,,,,,,,,,,,,,,13.975,1.8192105263157894,26.42105263157895,0.21052631578947367,8.725,1.7903703703703704,28.1,0.23333333333333334,V,2015-03-16 20:00:00,1.64,5.61,3.55
Campeonato 2015,5,14,Arsenal,River Plate,3,3,,,,,,,,,,,,,,,27.25,1.7977083333333335,24.862745098039216,0.19607843137254902,56.25,1.7738461538461539,24.21153846153846,0.23076923076923078,E,2015-03-16 21:10:00,3.98,2.0,3.14
